repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
hubot,atmos,1,Corey Donohoe,2012-02-13T04:53:34Z,0,4,4,"Merge pull request #243 from sbryant/remove-wait-option

Remove wait option",https://github.com/atmos,https://github.com/balanced/hubot
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-05-02T22:16:44Z,102,68,170,Moved some logic out of app/search.js and into the view,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-05-06T19:46:03Z,105,65,170,Simplify application template so the login page can be clean,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-ruby,cieplak,1,Patrick Cieplak,2013-07-17T22:21:44Z,163,5,168,Merge branch 'master' into delete,https://github.com/cieplak,https://github.com/balanced/balanced-ruby
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-08-20T02:37:59Z,153,15,168,Edit transaction modal,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-08-14T23:45:51Z,90,77,167,Fix nasty CSS used for headers to use standard bootstrap grid,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
www.balancedpayments.com,External,-1,Tarun Chaudhry,2013-10-18T22:27:45Z,22,145,167,added help redirection,https://github.com/tarunc,https://github.com/balanced/www.balancedpayments.com
active_merchant,External,-1,John Duff,2011-10-19T20:51:48Z,162,3,165,Add refund method to some gateways that do referenced credits,https://github.com/jduff,https://github.com/balanced/active_merchant
hubot,atmos,1,Corey Donohoe,2012-02-20T20:27:33Z,4,2,6,"Merge pull request #247 from franc/master

If Hubot is run with a different name, help displays the instance name.",https://github.com/atmos,https://github.com/balanced/hubot
billy,victorlin,1,Victor Lin,2013-08-18T12:17:38Z,165,0,165,Add date time schedule model and tests,https://github.com/victorlin,https://github.com/balanced/billy
billy,victorlin,1,Victor Lin,2013-08-26T07:56:02Z,150,15,165,Add input validation for subscription view,https://github.com/victorlin,https://github.com/balanced/billy
hubot,External,-1,Mathilde Lemee,2011-10-28T19:44:15Z,59,105,164,clean twitter,https://github.com/MathildeLemee,https://github.com/balanced/hubot
active_merchant,External,-1,John Duff,2012-06-29T16:54:41Z,47,117,164,Reduce duplication in the remote tests,https://github.com/jduff,https://github.com/balanced/active_merchant
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-07-17T16:52:02Z,138,26,164,Prevent multiple submission on all debit/credit modals,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-07-19T23:51:17Z,153,11,164,Tests for bank account and card pages,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-js,matthewfl,1,Matthew Francis-Landau,2013-10-26T20:10:09Z,72,91,163,baka,https://github.com/matthewfl,https://github.com/balanced/balanced-js
balanced-api,matthewfl,1,Matthew Francis-Landau,2013-08-22T17:22:31Z,162,0,162,adding marketplace/root level resource,https://github.com/matthewfl,https://github.com/balanced/balanced-api
